,Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
48,Warren Barguil,2023-07-10,Auvergne-Rhône-Alpes,Puy-de-Dôme,59.13,1:56:18,751,208,1248,57,53,30.5,68.1,Nuages,22,76,23,4.0,E
49,Warren Barguil,2023-07-06,Occitanie,Hautes-Pyrénées,6.21,11:11,8,81,26,0,21,33.3,59.2,Nuages,17,60,17,4.1,ENE
50,Warren Barguil,2023-08-30,Bretagne,Morbihan,155.59,4:05:39,2056,272,3553,200,70,38.0,79.3,Nuages,19,66,19,14.7,WSW
51,Warren Barguil,2023-08-27,Bretagne,Morbihan,217.1,6:15:24,3165,262,5099,287,67,34.7,85.2,Dégagé,11,97,10,5.9,W
52,Warren Barguil,2023-08-26,Bretagne,Morbihan,97.84,2:52:23,1004,228,2111,98,58,34.1,62.3,Quelques nuages,14,94,13,12.1,W
53,Warren Barguil,2023-08-24,Bretagne,Morbihan,49.89,2:23:23,1052,261,1845,108,67,20.9,51.9,Nuages,20,88,21,12.7,NE
54,Warren Barguil,2023-08-23,Bretagne,Morbihan,99.23,3:08:22,1744,268,2329,153,69,31.6,74.0,Quelques nuages,18,86,18,15.2,NE
55,Warren Barguil,2023-08-20,Bretagne,Morbihan,200.58,5:48:30,2088,232,4532,206,59,34.5,68.1,Nuages,15,95,15,2.4,ENE
56,Warren Barguil,2023-08-19,Bretagne,Morbihan,99.4,2:52:47,1307,285,2382,155,73,34.5,68.0,Nuages,17,97,18,14.4,SW
57,Warren Barguil,2023-08-16,Bretagne,Morbihan,116.91,3:26:22,1618,268,2681,164,69,34.0,79.6,Nuages,15,87,15,10.5,NNE
58,Warren Barguil,2023-08-14,Bretagne,Morbihan,60.21,2:57:41,1111,241,2264,118,62,20.3,49.0,Nuages,19,86,20,16.8,SSW
59,Warren Barguil,2023-08-10,Bretagne,Morbihan,112.44,3:12:22,1504,256,2441,139,66,35.1,80.2,Dégagé,23,75,23,8.3,SW
60,Warren Barguil,2023-08-06,Bretagne,Morbihan,141.97,4:05:07,2075,250,3363,168,64,34.8,76.2,Dégagé,12,97,12,12.1,WNW
61,Warren Barguil,2023-08-04,Bretagne,Morbihan,136.09,3:58:45,1910,249,3019,165,64,34.2,79.4,Quelques nuages,14,91,14,14.3,NW
62,Warren Barguil,2023-09-26,Bretagne,Morbihan,56.81,2:45:01,1030,248,2182,120,64,20.7,55.6,Nuages,18,98,19,11.3,SW
63,Warren Barguil,2023-09-23,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,83.07,2:45:27,1464,260,2101,126,67,30.1,66.1,Dégagé,17,60,16,9.1,NW
64,Warren Barguil,2023-09-17,Auvergne-Rhône-Alpes,Ain,50.12,1:24:04,136,230,1093,48,59,35.8,51.1,Nuages,19,88,20,15.2,SE
65,Warren Barguil,2023-09-16,Auvergne-Rhône-Alpes,Ain,11.54,18:33,27,227,243,10,58,37.3,52.8,Quelques nuages,26,60,28,11.4,SSW
66,Warren Barguil,2023-09-15,Bretagne,Morbihan,146.68,3:51:16,1105,241,3112,150,62,38.1,64.8,Dégagé,14,95,13,10.3,E
67,Warren Barguil,2023-10-17,Bretagne,Morbihan,64.29,1:30:23,679,300,1546,89,77,42.7,72.9,Nuages,18,63,17,18.9,E
68,Warren Barguil,2023-10-16,Bretagne,Morbihan,103.93,2:41:05,744,268,2479,127,69,38.7,65.6,Nuages,7,72,3,22.9,E
69,Warren Barguil,2023-10-03,Provence-Alpes-Côte d'Azur,Var,32.47,1:00:55,457,220,678,32,56,32.0,60.2,Quelques nuages,25,61,26,4.7,SW
