,Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
103,Quentin Pacher,2023-08-25,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,88.63,3:06:05,1921,999,9999,999,99,28.6,67.4,Dégagé,29,56,30,6.4,SSE
104,Quentin Pacher,2023-08-24,Occitanie,Haute-Garonne,53.64,1:43:10,594,999,9999,999,99,31.2,67.5,Dégagé,26,56,26,14.3,SE
105,Quentin Pacher,2023-08-23,Occitanie,Haute-Garonne,162.93,5:03:35,1248,999,9999,999,99,32.2,62.2,Dégagé,23,85,25,3.1,S
106,Quentin Pacher,2023-08-22,Auvergne-Rhône-Alpes,Ain,130.27,4:09:12,1974,999,9999,999,99,31.4,83.6,Dégagé,26,69,28,5.9,WNW
107,Quentin Pacher,2023-08-20,Occitanie,Pyrénées-Orientales,48.69,1:42:43,837,999,9999,999,99,28.4,66.6,Dégagé,24,46,23,3.7,NE
108,Quentin Pacher,2023-08-19,Occitanie,Pyrénées-Orientales,193.43,6:02:21,3088,999,9999,999,99,32.0,70.8,Quelques nuages,20,44,19,3.5,NW
109,Quentin Pacher,2023-08-18,Occitanie,Haute-Garonne,100.8,3:06:20,1287,999,9999,999,99,32.5,89.5,Nuages,25,56,25,14.9,SE
110,Quentin Pacher,2023-08-16,Occitanie,Ariège,115.66,3:59:12,2708,999,9999,999,99,29.0,72.5,Nuages,25,61,25,5.5,NNE
111,Quentin Pacher,2023-08-15,Occitanie,Aude,83.58,2:07:16,342,999,9999,999,99,39.4,56.4,Quelques nuages,31,49,32,7.9,NE
112,Quentin Pacher,2023-08-14,Occitanie,Tarn,128.36,4:08:37,2501,999,9999,999,99,31.0,71.4,Quelques nuages,27,66,29,19.6,ESE
113,Quentin Pacher,2023-08-13,Occitanie,Haute-Garonne,50.23,1:24:24,335,999,9999,999,99,35.7,64.0,Dégagé,33,44,35,7.0,E
114,Quentin Pacher,2023-08-12,Occitanie,Haute-Garonne,157.02,4:49:54,1487,999,9999,999,99,32.5,66.5,Dégagé,25,66,26,5.8,WNW
115,Quentin Pacher,2023-08-11,Occitanie,Haute-Garonne,128.94,3:49:56,1350,999,9999,999,99,33.6,69.8,Dégagé,24,63,25,2.6,NNE
116,Quentin Pacher,2023-08-05,Occitanie,Pyrénées-Orientales,60.69,2:02:32,1172,999,9999,999,99,29.7,64.4,Vent,26,38,26,29.3,NNW
117,Quentin Pacher,2023-08-04,Occitanie,Haute-Garonne,55.7,1:44:43,500,187,1178,999,99,31.9,61.2,Vent,18,70,18,24.9,WNW
118,Quentin Pacher,2023-08-03,Occitanie,Haute-Garonne,74.54,2:15:03,782,999,9999,999,99,33.1,69.8,Quelques nuages,21,63,21,22.8,WNW
119,Quentin Pacher,2023-09-28,Occitanie,Haute-Garonne,109.87,3:27:55,1210,999,9999,999,99,31.7,67.5,Nuages,15,93,15,3.5,S
120,Quentin Pacher,2023-09-27,Occitanie,Haute-Garonne,55.87,1:45:41,492,999,9999,999,99,31.7,70.4,Nuages,25,47,25,15.9,ESE
121,Quentin Pacher,2023-09-26,Occitanie,Haute-Garonne,58.43,1:55:58,450,999,9999,999,99,30.2,66.3,Dégagé,24,46,23,15.0,SE
122,Quentin Pacher,2023-09-23,Auvergne-Rhône-Alpes,Ain,44.96,1:22:05,405,999,9999,999,99,32.9,62.7,Quelques nuages,17,61,17,13.2,W
123,Quentin Pacher,2023-09-22,Occitanie,Haute-Garonne,97.29,2:59:52,1399,999,9999,999,99,32.5,65.1,Vent,19,60,18,26.8,W
124,Quentin Pacher,2023-09-21,Auvergne-Rhône-Alpes,Ain,95.06,3:31:21,2294,999,9999,999,99,27.0,68.4,Nuages,17,63,16,6.9,S
125,Quentin Pacher,2023-09-20,Occitanie,Haute-Garonne,51.01,1:32:02,540,999,9999,999,99,33.3,65.7,Dégagé,26,54,26,17.9,SE
126,Quentin Pacher,2023-09-19,Occitanie,Haute-Garonne,145.87,4:30:42,1334,999,9999,999,99,32.3,68.4,Quelques nuages,16,82,16,6.0,WSW
127,Quentin Pacher,2023-09-18,Occitanie,Haute-Garonne,135.82,4:00:51,1046,999,9999,999,99,33.8,65.3,Dégagé,20,89,21,2.7,SW
